,代码,名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
218,688198,佰仁医疗,256.0,17.5,7.34,3375,85498482.0,8.7,259.67,238.93,238.93,238.5,1.18,1.45,468.33,27.32,24688206848,5949006848
219,300442,普丽盛,41.99,2.87,7.34,6977,28533540.0,7.57,42.16,39.2,39.2,39.12,1.46,0.7,379.98,8.14,4199000000,4165224294
220,600192,长城电工,4.98,0.34,7.33,81715,39812607.0,8.41,5.0,4.61,4.75,4.64,1.46,1.85,-26.36,1.24,2199905040,2199905040
221,300617,安靠智电,61.4,4.19,7.32,21729,129469830.0,7.04,61.55,57.52,59.25,57.21,0.99,3.36,42.97,4.19,10324206520,3974907367
222,688707,振华新材-U,38.85,2.65,7.32,94315,359410080.0,7.73,39.07,36.27,36.8,36.2,1.11,12.83,56.96,6.45,17208017369,2855809304
223,300037,新宙邦,155.0,10.55,7.3,88952,1360137888.0,12.09,158.88,141.42,147.84,144.45,0.95,3.01,72.86,11.48,63672901515,45833581220
224,002583,海能达,5.59,0.38,7.29,608091,336736080.0,9.02,5.72,5.25,5.32,5.21,4.55,5.59,-42.06,1.67,10283218610,6080215167
225,300328,宜安科技,7.95,0.54,7.29,108032,84165772.0,7.56,7.98,7.42,7.42,7.41,0.84,1.59,3784.99,4.28,5488867620,5417257995
226,300587,天铁股份,21.17,1.43,7.24,92966,193185185.0,9.52,21.58,19.7,19.8,19.74,0.79,1.95,42.12,7.29,12260811124,10073427818
227,688408,中信博,167.3,11.3,7.24,12535,205587704.0,10.32,170.8,154.7,157.06,156.0,0.82,1.75,320.12,9.23,22705199804,11993000211
228,603963,大理药业,7.27,0.49,7.23,37065,26500693.0,10.18,7.44,6.75,6.81,6.78,4.18,1.69,-680.8,3.48,1597219000,1597219000
229,002655,共达电声,10.87,0.73,7.2,142441,152250122.0,7.4,10.95,10.2,10.21,10.14,1.07,3.96,39.01,6.52,3913200000,3911617328
230,600773,西藏城投,26.51,1.78,7.2,371417,969605376.0,7.93,26.9,24.94,24.95,24.73,0.97,4.53,194.33,5.97,21729206323,21729206323
231,002341,新纶新材,5.67,0.38,7.18,300489,167957324.0,6.81,5.72,5.36,5.39,5.29,0.67,3.37,-48.46,1.82,6533056737,5055123093
232,300781,因赛集团,20.55,1.37,7.14,21503,43323795.0,7.04,20.67,19.32,19.33,19.18,1.24,6.0,35.59,3.48,2258524035,735907419
233,300681,英搏尔,78.3,5.2,7.11,16887,131992098.0,10.38,80.36,72.77,72.77,73.1,0.74,3.9,177.14,9.82,5919480000,3393130500
234,300007,汉威科技,22.08,1.46,7.08,102913,222660677.0,8.24,22.34,20.64,20.64,20.62,1.14,4.13,25.78,3.15,7162468382,5500678962
235,300582,英飞特,23.9,1.58,7.08,110140,262422753.0,9.41,24.48,22.38,22.55,22.32,1.19,5.35,43.31,5.48,7088340368,4919884955
236,000155,川能动力,28.75,1.9,7.08,840866,2409928528.0,6.74,29.32,27.51,27.51,26.85,0.91,6.62,81.32,9.71,36512500000,36512500000
237,600218,全柴动力,12.56,0.83,7.08,289217,360454400.0,9.12,12.83,11.76,11.84,11.73,1.31,7.84,24.13,1.82,5471134983,4631562800
