,code,market,decimal,prePrice,details
283,688103,1,2,53.73,"10:48:39,52.38,2,1,2"
284,688103,1,2,53.73,"10:49:09,52.38,2,1,2"
285,688103,1,2,53.73,"10:49:36,52.38,2,1,2"
286,688103,1,2,53.73,"10:49:39,52.17,2,1,1"
287,688103,1,2,53.73,"10:49:57,52.40,2,1,2"
288,688103,1,2,53.73,"10:50:24,52.37,2,1,2"
289,688103,1,2,53.73,"10:50:48,52.37,2,1,2"
290,688103,1,2,53.73,"10:51:00,52.13,9,3,1"
291,688103,1,2,53.73,"10:51:03,52.13,2,1,1"
292,688103,1,2,53.73,"10:51:24,52.04,2,1,1"
293,688103,1,2,53.73,"10:51:48,52.29,2,1,2"
294,688103,1,2,53.73,"10:51:51,52.01,12,4,1"
295,688103,1,2,53.73,"10:52:09,51.95,36,6,1"
296,688103,1,2,53.73,"10:52:12,51.79,6,4,1"
297,688103,1,2,53.73,"10:53:18,51.80,8,3,1"
298,688103,1,2,53.73,"10:53:21,51.73,34,8,1"
299,688103,1,2,53.73,"10:53:24,51.70,4,2,1"
300,688103,1,2,53.73,"10:54:15,51.63,9,4,1"
301,688103,1,2,53.73,"10:54:18,51.63,2,1,1"
302,688103,1,2,53.73,"10:55:24,51.72,2,1,2"
303,688103,1,2,53.73,"10:55:27,51.64,2,1,1"
304,688103,1,2,53.73,"10:55:48,51.71,5,1,2"
305,688103,1,2,53.73,"10:56:15,51.74,2,1,2"
306,688103,1,2,53.73,"10:56:36,51.74,2,1,2"
307,688103,1,2,53.73,"10:57:03,51.70,2,1,2"
308,688103,1,2,53.73,"10:57:24,51.70,10,4,2"
309,688103,1,2,53.73,"10:57:27,51.70,8,3,1"
310,688103,1,2,53.73,"10:57:30,51.70,2,1,1"
311,688103,1,2,53.73,"10:57:33,51.78,2,1,2"
312,688103,1,2,53.73,"10:57:51,51.70,5,4,1"
313,688103,1,2,53.73,"10:58:45,51.69,28,8,1"
314,688103,1,2,53.73,"10:58:48,51.65,3,2,1"
315,688103,1,2,53.73,"10:59:30,51.74,2,2,2"
316,688103,1,2,53.73,"10:59:33,51.67,2,1,1"
317,688103,1,2,53.73,"10:59:57,51.70,3,1,2"
318,688103,1,2,53.73,"11:00:00,51.66,1,1,1"
319,688103,1,2,53.73,"11:00:36,51.70,5,4,2"
320,688103,1,2,53.73,"11:00:39,51.70,2,1,2"
321,688103,1,2,53.73,"11:00:42,51.70,1,1,2"
322,688103,1,2,53.73,"11:01:03,51.70,8,5,2"
323,688103,1,2,53.73,"11:01:06,51.67,4,2,1"
324,688103,1,2,53.73,"11:01:27,51.75,2,2,2"
325,688103,1,2,53.73,"11:01:48,51.75,2,1,2"
326,688103,1,2,53.73,"11:02:24,51.75,2,2,2"
327,688103,1,2,53.73,"11:02:42,51.75,2,1,2"
328,688103,1,2,53.73,"11:03:09,51.75,2,1,2"
329,688103,1,2,53.73,"11:03:21,51.67,2,1,1"
330,688103,1,2,53.73,"11:03:57,51.67,3,3,1"
331,688103,1,2,53.73,"11:04:00,51.68,2,1,1"
332,688103,1,2,53.73,"11:04:03,51.68,2,1,1"
333,688103,1,2,53.73,"11:04:06,51.69,2,1,1"
334,688103,1,2,53.73,"11:04:36,51.69,1,1,1"
335,688103,1,2,53.73,"11:05:12,51.70,2,1,2"
336,688103,1,2,53.73,"11:05:30,51.69,2,1,2"
337,688103,1,2,53.73,"11:05:33,51.67,2,1,1"
338,688103,1,2,53.73,"11:05:48,51.68,2,1,2"
339,688103,1,2,53.73,"11:05:54,51.65,25,3,1"
340,688103,1,2,53.73,"11:05:57,51.64,2,3,1"
341,688103,1,2,53.73,"11:06:00,51.62,31,12,1"
342,688103,1,2,53.73,"11:06:03,51.62,14,3,1"
343,688103,1,2,53.73,"11:06:06,51.52,36,9,1"
344,688103,1,2,53.73,"11:06:09,51.50,6,5,1"
345,688103,1,2,53.73,"11:06:18,51.50,24,8,1"
346,688103,1,2,53.73,"11:06:21,51.13,2,1,1"
347,688103,1,2,53.73,"11:06:39,51.50,3,1,2"
348,688103,1,2,53.73,"11:06:42,51.32,2,1,1"
349,688103,1,2,53.73,"11:08:21,51.62,2,1,2"
350,688103,1,2,53.73,"11:08:54,51.62,2,2,2"
351,688103,1,2,53.73,"11:09:06,51.60,2,1,2"
352,688103,1,2,53.73,"11:09:33,51.61,2,2,2"
353,688103,1,2,53.73,"11:09:57,51.61,2,1,2"
354,688103,1,2,53.73,"11:10:24,51.59,2,1,2"
355,688103,1,2,53.73,"11:10:48,51.59,2,1,2"
356,688103,1,2,53.73,"11:11:18,51.60,2,1,2"
357,688103,1,2,53.73,"11:11:42,51.61,2,1,2"
358,688103,1,2,53.73,"11:11:57,51.52,4,1,1"
359,688103,1,2,53.73,"11:12:00,51.61,2,1,2"
360,688103,1,2,53.73,"11:12:27,51.61,2,1,2"
361,688103,1,2,53.73,"11:13:00,51.61,2,1,2"
362,688103,1,2,53.73,"11:13:18,51.61,2,2,2"
363,688103,1,2,53.73,"11:13:48,51.61,2,1,2"
364,688103,1,2,53.73,"11:14:09,51.61,2,1,2"
365,688103,1,2,53.73,"11:14:12,51.50,6,2,1"
366,688103,1,2,53.73,"11:14:51,51.51,3,1,1"
367,688103,1,2,53.73,"11:15:03,51.51,10,2,2"
368,688103,1,2,53.73,"11:15:06,51.50,2,2,1"
369,688103,1,2,53.73,"11:15:57,51.61,2,1,2"
